AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
007,0,AERO COMMANDER 200,ROCKWELL,AERO COMMANDER 200,COMMANDR,1/1/1990 12:00:00 AM,
008,0,AERO MACCHI AL-60,AERO MACCHI,AERO MACCHI AL-60,AL-60,1/1/1990 12:00:00 AM,
009,0,AERONCA 7-AC,AERONCA,AERONCA 7-AC,AERONCA7,1/1/1990 12:00:00 AM,
010,0,BEECH 35/36,BEECHCRAFT,BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A,BONANZA,1/1/1990 12:00:00 AM,
020,0,BELLANCA CH-300,BELLANCA,BELLANCA CH-300,CH-300,1/1/1990 12:00:00 AM,
024,0,BEECH B-23,BEECHCRAFT,BEECH B-23 MUSKETEER,MUSKTEER,1/1/1990 12:00:00 AM,
026,0,GIPPS AERO GA8 AIR,GIPPS AERO,GIPPS AERO GA8 AIRVAN,AIRVAN,1/1/2014 12:00:00 AM,
029,0,CESSNA 150/152,CESSNA,CESSNA 150/152,CE-150/2,1/1/1990 12:00:00 AM,
030,0,CESSNA 180,CESSNA,CESSNA 180,CE-180,1/1/1990 12:00:00 AM,
031,0,CESSNA 180A/B,CESSNA,CESSNA 180A/B,CE-180,1/1/1990 12:00:00 AM,
032,0,CESSNA 180C/D/E/F,CESSNA,CESSNA 180C/D/E/F,CE-180C,1/1/1990 12:00:00 AM,
033,0,CESSNA 185A/B/C,CESSNA,CESSNA 185A/B/C SKYWAGON,SKYWAGON,1/1/1990 12:00:00 AM,
034,0,HELIO H250/295/395,HELIO,HELIO H-250/295/395,COURIER,1/1/1990 12:00:00 AM,
035,0,CESSNA 206/207/209,CESSNA,CESSNA C206/207/209/210 STATIONAIR,CE-206/7,1/1/1990 12:00:00 AM,
036,0,CESSNA 172 SKYHAWK,CESSNA,CESSNA 172 SKYHAWK,SKYHAWK,1/1/1990 12:00:00 AM,
037,0,CESSNA 195,CESSNA,CESSNA 195,CE-195,1/1/1990 12:00:00 AM,
038,0,CESSNA CARDINAL,CESSNA,CESSNA 177 CARDINAL,CARDINAL,1/1/1990 12:00:00 AM,
039,0,CESSNA 182 SKYLANE,CESSNA,CESSNA 182 SKYLANE,SKYLANE,1/1/1990 12:00:00 AM,
040,0,DEHAVILLAND DHC2,DEHAVILLAND OF CANADA,DEHAVILLAND DHC2 BEAVER,BEAVER,1/1/1990 12:00:00 AM,
041,0,CESSNA 205,CESSNA,CESSNA 205,CE-205,1/1/1990 12:00:00 AM,
042,0,DEHAVILLAND DHC3,DEHAVILLAND OF CANADA,DEHAVILLAND DHC3 OTTER,OTTER,1/1/1990 12:00:00 AM,
044,0,LAKE LA-4,LAKE,LAKE LA-4,LA-4,1/1/1990 12:00:00 AM,
050,0,HOWARD DGA-15P,HOWARD,HOWARD DGA-15P,DGA-15P,1/1/1990 12:00:00 AM,
051,0,MOONEY M-21,MOONEY,MOONEY M-21,M-21,1/1/1990 12:00:00 AM,
052,0,MOONEY M-20C/E/G,MOONEY,MOONEY M-20C/E/G,M-20C/E,1/1/1990 12:00:00 AM,
065,0,NOORDUYN UC-64AS,NOORDUYN,NOORDUYN UC-64AS,UC-64AS,1/1/1990 12:00:00 AM,
070,0,PILATUS PORTER PC6,PILATUS,PILATUS PORTER PC6,PC6,1/1/1990 12:00:00 AM,
071,0,PILATUS PC6/350,PILATUS,PILATUS PORTER PC6/350,PC6/350,1/1/1990 12:00:00 AM,
079,0,PIPER PA-32,PIPER,PIPER PA-32 (CHEROKEE 6),PA-32,1/1/1990 12:00:00 AM,
080,0,PIPER PA-18,PIPER,PIPER PA-18 (SUPER-CUB),SUPERCUB,1/1/1990 12:00:00 AM,
081,0,PIPER PA-14,PIPER,PIPER PA-14 (FAMILY-CRUISER),FAMCRUIS,1/1/1990 12:00:00 AM,
082,0,PIPER PA-22,PIPER,PIPER PA-22 (TRI-PACER),TRIPACER,1/1/1990 12:00:00 AM,
083,0,PIPER PA-24,PIPER,PIPER PA-24 (COMANCHE),COMANCHE,1/1/1990 12:00:00 AM,
084,0,PIPER PA-28,PIPER,PIPER PA-28 (CHEROKEE),PA-28,1/1/1990 12:00:00 AM,
085,0,STINSON SR-9,STINSON,STINSON SR-9,SR-9,1/1/1990 12:00:00 AM,
086,0,PIPER PA-12,PIPER,PIPER PA-12 (SUPERCRUISER),PA-12,1/1/2002 12:00:00 AM,
087,0,STINSON V-77,STINSON,STINSON V-77,V-77,1/1/1990 12:00:00 AM,
088,0,STINSON SR-10E,STINSON,STINSON SR-10E BUSHMAN,BUSHMAN,1/1/1990 12:00:00 AM,
091,0,FLT/AMPHIB TURBINE,,FLOAT/AMPHIB TURBINE,FLT/AMPH,1/1/1990 12:00:00 AM,
092,0,PISTON-LT 450 HP,,FLOAT/AMPHIB PISTON-LT 450 HP,FLT/AMPH,1/1/1990 12:00:00 AM,
093,0,PISTON-450+ HP,,FLOAT/AMPHIB PISTON-450+ HP,FLT/AMPH,1/1/1990 12:00:00 AM,
094,0,LAND-TURBINE,,LAND-TURBINE,LAND,1/1/1990 12:00:00 AM,
095,0,PISTON-LT 450 HP,,LAND-PISTON-LT 450 HP,LAND,1/1/1990 12:00:00 AM,
096,0,PISTON-450+ HP,,LAND-PISTON-450+ HP,LAND,1/1/1990 12:00:00 AM,
097,0,STIN.FW 300-450 HP,STINSON,STINSON F.W. 300-450 HP,STNSN FW,1/1/1950 12:00:00 AM,
098,0,STIN.FW LT 300 HP,STINSON,STINSON 0-299 HP,STNSN FW,1/1/1950 12:00:00 AM,
102,1,P2012 TRAVELER,TECMAN,P2012 TRAVELER,P2012,1/1/2022 12:00:00 AM,
103,1,AERO COMANDR 500/6,ROCKWELL,AERO COMMANDER (500/600 SERIES EXCPT 680FL),COMMANDR,1/1/1990 12:00:00 AM,
104,1,AERO COMANDR 680FL,ROCKWELL,GRAND COMMANDER 680FL,COMMANDR,1/1/1990 12:00:00 AM,
105,1,BEECH C-50,BEECHCRAFT,BEECH C-50 (TWIN BONANZA),TWBONANZ,1/1/1990 12:00:00 AM,
110,1,BEECH 18,BEECHCRAFT,BEECH 18 C-185,BE-18C,1/1/1990 12:00:00 AM,
111,1,BEECH KINGAIR 90,BEECHCRAFT,BEECH KING AIR 90,KING AIR,1/1/1990 12:00:00 AM,
113,1,BEECH B-95,BEECHCRAFT,BEECH B-95 (TRAVELAIR),TRAVLAIR,1/1/1990 12:00:00 AM,
115,1,BEECH AT-11,BEECHCRAFT,BEECH AT-11,AT-11,1/1/1990 12:00:00 AM,
117,1,BEECH BARON B-55,BEECHCRAFT,BEECH BARON (55 SERIES),BARON,1/1/1990 12:00:00 AM,
120,1,CESSNA T-50,CESSNA,CESSNA T-50 (BOBCAT),BOBCAT,1/1/1990 12:00:00 AM,
121,1,CESSNA C-421,CESSNA,CESSNA C-421,CE-C421,1/1/1990 12:00:00 AM,
122,1,CESSNA C-310,CESSNA,CESSNA C-310 SERIES,CE-C310,1/1/1990 12:00:00 AM,
123,1,CESSNA C-340/335,CESSNA,CESSNA C-340/335,CE-340,9/1/2006 12:00:00 AM,
125,1,CESSNA C-402/402A,CESSNA,CESSNA C-402/402A/402B,CE-402,1/1/1990 12:00:00 AM,
128,1,CESSNA 404,CESSNA,CESSNA 404,CE-404,1/1/1990 12:00:00 AM,
130,1,C-28 5ACF PBY,CONSOLIDATED VULTEE,C-28 5ACF PBY,PBY,1/1/1990 12:00:00 AM,
131,1,BRITT-NORMAN BN2/A,PILATUS BRITTEN-NORMAN,PILATUS BRITTEN-NORMAN BN2/A ISLANDER,ISLANDER,1/1/1990 12:00:00 AM,
132,1,C-28 5ACF-PBY EMQ,CONSOLIDATED VULTEE,C-28 5ACF-PBY-EMQ,PBY-EMQ,1/1/1990 12:00:00 AM,
133,1,BEECH QUEEN AIR,BEECHCRAFT,BEECH 65/65A-80/65B-80 (QUEEN AIR),QUEENAIR,1/1/1990 12:00:00 AM,
140,1,CONVAIR CV-240,CONVAIR,CONVAIR CV-240,CV-240,1/1/1990 12:00:00 AM,
143,1,CONVAIR CV-340/440,CONVAIR,CONVAIR CV-340/440,CV-340/4,1/1/1990 12:00:00 AM,
148,1,CESSNA C-337,CESSNA,CESSNA C-337 (SUPER SKY MASTER),SKYMASTR,1/1/1990 12:00:00 AM,
149,1,CESSNA C-401,CESSNA,CESSNA C-401,CE-C401,1/1/1990 12:00:00 AM,
150,1,CURTISS C46 SERIES,CURTISS-WRIGHT,CURTISS C46/20T/A/D/F/R COMMANDO,COMMANDO,1/1/1990 12:00:00 AM,
152,1,CESSNA C-411,CESSNA,CESSNA C-411,CE-411,1/1/1990 12:00:00 AM,
153,1,DHC4 CARIBOU,DEHAVILLAND OF CANADA,DEHAVILLAND DHC4 CARIBOU,CARIBOU,1/1/1990 12:00:00 AM,
158,1,DOUGLAS DC-2,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-2,DC-2,1/1/1990 12:00:00 AM,
159,1,HAMILTON B-18S,HAMILTON,HAMILTON B-18S LITTLE LINER (CONVERTED),B-18S,1/1/1990 12:00:00 AM,
160,1,DOUGLAS DC-3,MCDONNELL DOUGLAS,"MCDONNELL DOUGLAS DC-3/A/C,C-47/B",DC-3,1/1/1990 12:00:00 AM,
161,1,DORNIER DO-28,DORNIER,DORNIER DO-28 SKYSERVANT,DO-28,1/1/1990 12:00:00 AM,
166,1,CESSNA C-336,CESSNA,CESSNA C-336,CE-336,1/1/1990 12:00:00 AM,
167,1,FAIRCHILD C-82A,FAIRCHILD,FAIRCHILD C-82A,C-82A,1/1/1990 12:00:00 AM,
170,1,GRUMMAN G-21A,GRUMMAN,GRUMMAN G-21A (GOOSE),GOOSE,1/1/1990 12:00:00 AM,
171,1,GRUMMAN SA-16A-GR,GRUMMAN,GRUMMAN SA-16A-GR (ALBATROSS),ALBATRSS,1/1/1990 12:00:00 AM,
172,1,GRUMMAN G-44/44A,GRUMMAN,GRUMMAN G-44/44A (WIDGEON),WIDGEON,1/1/1990 12:00:00 AM,
173,1,GRUMMAN G-73,GRUMMAN,GRUMMAN G-73 (MALLARD),MALLARD,1/1/1990 12:00:00 AM,
174,1,DOVE DH-104,DEHAVILLAND OF CANADA,DEHAVILLAND DOVE DH-104,DOVE,1/1/1990 12:00:00 AM,
175,1,LOCKHEED L-12A,LOCKHEED,LOCKHEED L-12A/L-10/10A,L-12A,1/1/1990 12:00:00 AM,
180,1,MARTIN 202/202A,MARTIN,MARTIN 202/202A,M-202,1/1/1990 12:00:00 AM,
185,1,MARTIN 404,MARTIN,MARTIN 404,M-404,1/1/1990 12:00:00 AM,
190,1,PIPER PA-23,PIPER,PIPER PA-23-250 (AZTEC/APACHE),AZTEC,1/1/1990 12:00:00 AM,
193,1,PIPER T-1020,PIPER,PIPER T-1020,PA-T1020,1/1/1990 12:00:00 AM,
194,1,PIPER PA-31/T-1020,PIPER,PIPER PA-31 (NAVAJO)/T-1020,NAVAJO,11/1/1996 12:00:00 AM,
195,1,PIPER PA-34/39,PIPER,PIPER PA-34/39 (TWIN COMMANCHE),TWNCOMAN,1/1/1990 12:00:00 AM,
200,2,BOEING 377,BOEING,BOEING 377 STRATOCRUISER,B-377,1/1/1990 12:00:00 AM,
201,2,BN2A TRISLANDER,PILATUS BRITTEN-NORMAN,PILATUS BRITTEN-NORMAN BN2A TRISLANDER,TRISLNDR,1/1/1990 12:00:00 AM,
205,2,DH-114 HERON,DEHAVILLAND OF CANADA,DEHAVILLAND DH-114 HERON,HERON,1/1/1990 12:00:00 AM,
210,2,DOUGLAS DC-4,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-4(C54/C54A/C54B/C54E),DC-4,1/1/1990 12:00:00 AM,
216,2,DOUGLAS DC-6,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6,DC-6,1/1/1990 12:00:00 AM,
218,2,DOUGLAS DC-6A,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6A,DC-6A,1/1/1990 12:00:00 AM,
220,2,DOUGLAS DC-6B,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6B,DC-6B,1/1/1990 12:00:00 AM,
225,2,DOUGLAS DC-7A/B,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-7A/B,DC-7A/B,1/1/1990 12:00:00 AM,
228,2,DOUGLAS DC-7C,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-7C,DC-7C,1/1/1990 12:00:00 AM,
240,2,LOCKHEED L-049,LOCKHEED,LOCKHEED L-049,L-049,1/1/1990 12:00:00 AM,
242,2,LOCKHEED L-649,LOCKHEED,LOCKHEED L-649,L-649,1/1/1990 12:00:00 AM,
244,2,LOCKHEED L-749/A,LOCKHEED,LOCKHEED L-749/749A,L-749/A,1/1/1990 12:00:00 AM,
247,2,LOCKHEED L-1049,LOCKHEED,LOCKHEED L-1049,L-1049,1/1/1990 12:00:00 AM,
248,2,LOCKHEED 1049C/D/E,LOCKHEED,LOCKHEED L-1049C/D/E,L-1049C,1/1/1990 12:00:00 AM,
